Marc:Díaz Badenas::diaz@estudiant.upc.edu:11
Marta: Puig Ferrer::puig@estudiant.upc.edu:21
Anna:Franch Morell::franch@estudiant.upc.edu:12
Ivan:Castillo Vázquez::castillo@estudiant.upc.edu:11
Sergi:Clemente Castro::clemente@estudiant.upc.edu:21
Jordi:Moreno García::moreno@estudiant.upc.edu:22
Francesc:Hernández Molina::hernandez@estudiant.upc.edu:12
Gemma:Sans Ramírez::sans@estudiant.upc.edu:22
Aina:Ramos Rubio::ramos@estudiant.upc.edu:11
Carles:Cano Medina::cano@estudiant.upc.edu:21
Andrea:Maristany Ortega::maristany@estudiant.upc.edu:12
